# Raw ESP32 log. Lines start with IMU, or GPS,
# Recommended: keep the robot stationary while logging.
IMU,1150481,-0.002394,-0.017358,9.848549,-0.001732,0.004530,0.001199
IMU,1150491,-0.026336,0.008380,9.858126,-0.000400,-0.001998,-0.005329
IMU,1150501,-0.047884,0.008380,9.805453,0.002132,-0.000666,-0.001865
IMU,1150511,-0.026336,-0.010175,9.750386,0.001599,0.000533,0.000400
IMU,1150521,-0.014365,-0.019752,9.817424,0.000400,0.001732,0.002665
IMU,1150531,-0.004788,-0.005387,9.838972,0.001865,-0.001732,0.000533
IMU,1150541,-0.004788,-0.022146,9.913192,-0.005862,0.000000,0.000666
IMU,1150551,-0.052672,0.013168,9.896433,0.001066,0.002531,-0.003730
IMU,1150561,-0.026336,-0.005387,9.872491,0.003997,0.004130,-0.002132
IMU,1150571,-0.033519,-0.007781,9.791088,0.000799,-0.001466,0.001998
IMU,1150581,-0.014365,-0.012570,9.860519,0.002265,-0.000533,-0.002265
IMU,1150591,-0.043096,-0.026935,9.870096,-0.000133,-0.004796,0.000533
IMU,1150601,-0.031125,-0.007781,9.793482,0.003597,-0.000533,0.002398
IMU,1150611,-0.014365,-0.002993,9.704897,-0.003064,-0.003331,0.001199
IMU,1150621,0.000000,-0.022146,9.762358,-0.001732,0.000533,0.001066
IMU,1150631,-0.021548,0.025139,9.827001,0.000000,0.001599,0.004530
IMU,1150641,0.018555,-0.019752,9.841366,-0.001332,-0.000799,-0.001732
IMU,1150651,-0.055067,-0.019752,9.841366,0.000799,-0.003864,-0.000799
IMU,1150661,-0.021548,0.005986,9.795877,-0.001332,-0.000400,-0.005196
IMU,1150671,0.000000,0.001197,9.788693,0.004930,-0.001998,0.000533
IMU,1150681,-0.040701,-0.034117,9.865308,0.003464,-0.001732,0.001066
IMU,1150691,-0.019154,-0.026935,9.901221,-0.001865,-0.002531,-0.001332
IMU,1150701,-0.023942,0.010774,9.865308,0.000000,-0.001199,-0.000133
IMU,1150711,-0.026336,-0.010175,9.800665,-0.001599,-0.004397,-0.000933
IMU,1150721,-0.040701,-0.012570,9.728839,-0.003064,0.004530,-0.002931
IMU,1150731,-0.007183,0.027533,9.836577,0.003064,-0.001066,-0.002265
IMU,1150741,0.008978,-0.034117,9.932345,0.000000,-0.001066,0.001199
IMU,1150751,-0.011971,0.003591,9.769540,0.001199,-0.000400,-0.000400
IMU,1150761,-0.019154,-0.007781,9.769540,0.002132,-0.000266,-0.003464
IMU,1150771,-0.035913,-0.000599,9.858126,-0.003198,0.002665,0.000133
IMU,1150781,-0.019154,-0.017358,9.831789,0.002531,0.000000,-0.000799
IMU,1150791,-0.033519,-0.017358,9.917980,0.000933,0.001998,-0.000400
IMU,1150801,-0.033519,-0.022146,9.874885,0.004130,-0.000533,-0.005329
IMU,1150811,-0.040701,-0.014964,9.776723,-0.003597,-0.003864,0.000266
IMU,1150821,-0.021548,-0.031723,9.736021,0.000133,-0.000799,0.000266
IMU,1150831,0.000000,-0.002993,9.762358,-0.000133,0.000933,0.000000
IMU,1150841,-0.007183,-0.012570,9.824607,0.000000,-0.000666,0.000666
IMU,1150851,-0.038307,-0.014964,9.858126,-0.000666,0.004663,-0.000933
IMU,1150861,-0.052672,-0.007781,9.781511,0.002398,-0.003730,-0.000666
IMU,1150871,-0.019154,-0.017358,9.805453,0.001599,0.002531,-0.003198
IMU,1150881,-0.009577,-0.029329,9.815030,0.001599,-0.000133,-0.001066
IMU,1150891,-0.009577,-0.014964,9.879673,0.005196,-0.001998,0.001199
IMU,1150901,-0.033519,-0.019752,9.843760,0.003064,0.002132,-0.001466
IMU,1150911,-0.040701,0.005986,9.803059,-0.000799,-0.004663,-0.000400
IMU,1150921,0.000000,0.027533,9.793482,-0.001599,-0.006262,0.000266
IMU,1150931,-0.014365,-0.012570,9.747993,0.003331,0.002798,0.001199
IMU,1150941,-0.040701,0.005986,9.838972,-0.001066,0.002665,-0.000133
IMU,1150951,-0.016759,-0.024541,9.841366,0.000666,-0.003597,0.000133
IMU,1150961,-0.062249,-0.002993,9.764751,0.002265,0.000133,0.001599
IMU,1150971,-0.028730,-0.000599,9.836577,0.001865,-0.000799,0.003064
IMU,1150981,-0.038307,-0.041300,9.867702,0.005063,0.001066,0.000000
IMU,1150991,-0.031125,-0.034117,9.800665,0.006928,-0.001332,-0.001865
IMU,1151001,-0.031125,-0.000599,9.805453,-0.002132,-0.002398,0.001066
GPS,1151001,43.645271,-79.437021,111.30,0.24,3.52,5,1
IMU,1151011,-0.045490,-0.010175,9.776723,-0.001599,-0.000933,-0.002531
IMU,1151021,0.001796,0.001197,9.822212,-0.000400,0.002398,0.001599
IMU,1151031,-0.026336,-0.007781,9.879673,0.001066,0.001732,0.001466
IMU,1151041,-0.028730,-0.010175,9.908403,0.000400,0.000933,0.004796
IMU,1151051,-0.050278,0.001197,9.870096,0.003864,0.000533,-0.000533
IMU,1151061,-0.050278,-0.022146,9.733627,0.002132,-0.001466,-0.000933
IMU,1151071,-0.069432,0.027533,9.815030,0.000933,0.002132,0.003864
IMU,1151081,-0.045490,-0.007781,9.795877,-0.003331,0.004930,-0.001732
IMU,1151091,-0.026336,-0.010175,9.848549,-0.000933,0.001066,0.000000
IMU,1151101,-0.033519,-0.024541,9.755175,0.000000,-0.000266,-0.000266
IMU,1151111,-0.043096,0.003591,9.747993,-0.000133,-0.002531,-0.001599
IMU,1151121,-0.076614,-0.031723,9.776723,0.002398,0.000266,0.001332
IMU,1151131,-0.026336,-0.000599,9.834184,0.003331,-0.003198,-0.001466
IMU,1151141,-0.007183,0.017957,9.841366,0.000799,-0.001865,0.000400
IMU,1151151,-0.028730,-0.007781,9.831789,0.000799,-0.001732,-0.001332
IMU,1151161,0.018555,-0.007781,9.817424,-0.001599,0.000000,0.000666
IMU,1151171,-0.035913,-0.019752,9.836577,-0.004663,0.005063,-0.002931
IMU,1151181,-0.021548,-0.005387,9.872491,-0.001466,0.003997,0.000666
IMU,1151191,-0.019154,-0.041300,9.879673,-0.002132,0.001066,-0.002265
IMU,1151201,0.001796,-0.000599,9.812635,0.000000,-0.004130,0.001599
IMU,1151211,-0.014365,-0.019752,9.769540,0.000400,-0.002398,-0.001332
IMU,1151221,-0.011971,-0.022146,9.771935,0.002265,-0.000666,0.000133
IMU,1151231,-0.019154,-0.014964,9.829395,0.000400,0.002398,0.000799
IMU,1151241,-0.016759,-0.002993,9.848549,-0.001199,-0.000933,0.000799
IMU,1151251,-0.031125,0.003591,9.831789,-0.002531,-0.000666,0.003331
IMU,1151261,-0.004788,0.008380,9.783905,0.001466,-0.003730,0.004397
IMU,1151271,-0.057461,-0.019752,9.829395,0.002398,-0.000666,-0.003597
IMU,1151281,-0.023942,-0.019752,9.865308,0.000000,0.002132,-0.001466
IMU,1151291,-0.045490,0.034716,9.862914,0.002398,0.000266,0.004530
IMU,1151301,-0.016759,-0.043694,9.836577,0.003864,-0.003730,0.000933
IMU,1151311,-0.009577,-0.046088,9.783905,0.003997,-0.000799,-0.001332
IMU,1151321,0.004190,0.003591,9.721656,0.002265,-0.002798,0.000400
