
# IMU Configuration complete!
# IMU + GPS streaming started
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
IMU,825,-0.120088,-0.232714,9.907679,-0.002823,-0.000719,-0.002530,48.810547,1008.809570,-999.301453
IMU,829,-0.134090,-0.144787,9.951808,-0.000826,-0.002450,-0.004528,48.810547,1008.809570,-999.301453
IMU,843,-0.161299,-0.211158,9.933549,0.005167,-0.001518,-0.000266,118.915504,1041.615112,-966.481689
IMU,846,-0.156469,-0.220998,9.933733,-0.000826,-0.001119,0.001998,70.131577,1003.029114,-1004.083801
IMU,860,-0.122628,-0.249903,9.903144,-0.002157,-0.004981,-0.000400,48.232639,988.759155,-951.080566
IMU,864,-0.100153,-0.196569,9.962430,0.002104,-0.002717,0.003862,118.852959,1029.720093,-1009.438904
IMU,878,-0.156573,-0.220634,9.912108,-0.000959,-0.001119,0.003729,118.852959,1029.720093,-1009.438904
IMU,881,-0.170921,-0.216659,9.964819,-0.003755,-0.002051,-0.001864,118.852959,1029.720093,-1009.438904
IMU,895,-0.115054,-0.213209,9.921795,-0.002290,-0.003516,-0.003729,69.553665,982.978760,-955.862915
IMU,899,-0.114763,-0.219231,9.986752,0.000639,-0.001651,0.001998,69.553665,982.978760,-955.862915
IMU,913,-0.129652,-0.238417,9.950963,-0.000293,-0.001385,-0.001465,70.793365,1046.681763,-956.802429
IMU,916,-0.139226,-0.186482,9.938054,-0.001891,-0.000852,-0.002131,70.793365,1046.681763,-956.802429
IMU,930,-0.126950,-0.224299,9.991580,0.001571,-0.001784,-0.000533,64.403938,989.600891,-975.111877
IMU,934,-0.163710,-0.236310,9.962774,-0.002823,-0.000852,-0.000666,81.752769,1048.057129,-1014.370422
IMU,948,-0.154054,-0.225918,9.933825,-0.003090,-0.001252,-0.000400,123.589584,1003.799072,-980.320251
